port open completed!!
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
Receive data:Start UART
Send data:Hi Tom
